,cost,ave,std
0,338130,317176.55,201504.50286240692
1,121705,,
2,336732,,
3,142107,,
4,126250,,
5,730968,,
6,436280,,
7,388926,,
8,226408,,
9,509712,,
10,653268,,
11,104832,,
12,573648,,
13,567864,,
14,556776,,
15,215730,,
16,174420,,
17,317847,,
18,410172,,
19,370524,,
20,126672,,
21,90064,,
22,448416,,
23,137461,,
24,102408,,
25,180948,,
26,144840,,
27,131886,,
28,182000,,
29,719340,,
30,398316,,
31,338040,,
32,155952,,
33,283884,,
34,414480,,
35,368368,,
36,128336,,
37,328440,,
38,504504,,
39,246000,,
40,745332,,
41,355540,,
42,91607,,
43,185136,,
44,557752,,
45,399340,,
46,303072,,
47,134520,,
48,307545,,
49,170016,,
50,331056,,
51,190320,,
52,100804,,
53,904248,,
54,58656,,
55,278868,,
56,178992,,
57,329312,,
58,75400,,
59,425917,,
60,198120,,
61,438360,,
62,114684,,
63,270744,,
64,454176,,
65,431976,,
66,176052,,
67,1209768,,
68,639252,,
69,413424,,
70,101712,,
71,390870,,
72,152356,,
73,495280,,
74,275652,,
75,370656,,
76,532338,,
77,142410,,
78,316932,,
79,543192,,
80,245808,,
81,179256,,
82,333828,,
83,141048,,
84,348516,,
85,134352,,
86,245652,,
87,436176,,
88,655500,,
89,78744,,
90,327726,,
91,155844,,
92,251952,,
93,108568,,
94,141128,,
95,564264,,
96,195312,,
97,276012,,
98,261116,,
99,112812,,
