,score,ave,std
0,2042857143,8334496110.34,6987048006.300863
1,11949732620,,
2,6777301790,,
3,7830747031,,
4,8426661204,,
5,7590696803,,
6,3783333333,,
7,7938095238,,
8,1869047619,,
9,12176923077,,
10,3500000000,,
11,15577922078,,
12,5382539683,,
13,11079202742,,
14,26231970324,,
15,16049935425,,
16,9436719411,,
17,3891414141,,
18,5100000000,,
19,7999813220,,
20,2619047619,,
21,2739933166,,
22,6763888889,,
23,10416666667,,
24,9360832060,,
25,7430952381,,
26,10804287276,,
27,13226190476,,
28,4648167702,,
29,25600849048,,
30,9377716728,,
31,5601680672,,
32,1698354423,,
33,10665015927,,
34,4263311688,,
35,2916666667,,
36,3710989011,,
37,19824200759,,
38,11533692185,,
39,2681024048,,
40,2508541812,,
41,3745454545,,
42,15263140767,,
43,6624242424,,
44,6977020202,,
45,3183333333,,
46,2558823529,,
47,19603924964,,
48,8277777778,,
49,6475694444,,
50,12055349368,,
51,8237745098,,
52,9945404658,,
53,13033823529,,
54,3544415352,,
55,11650432900,,
56,10151837928,,
57,11683333333,,
58,1680555556,,
59,3766666667,,
60,8279056543,,
61,4158333333,,
62,8043968254,,
63,54430591631,,
64,6156782107,,
65,2318886158,,
66,9243780239,,
67,4654599567,,
68,20365832200,,
69,1772271743,,
70,6938219022,,
71,2788410643,,
72,2399820305,,
73,7086111111,,
74,2783333333,,
75,3514824244,,
76,3834271284,,
77,933333333,,
78,13585259693,,
79,4541465459,,
80,4553100953,,
81,14243744164,,
82,18164285714,,
83,5181818182,,
84,11666901154,,
85,13421052967,,
86,2116666667,,
87,6205515298,,
88,4840909091,,
89,6750550049,,
90,10590605636,,
91,4313311688,,
92,9502441584,,
93,2714285714,,
94,2090909091,,
95,8006599833,,
96,8946212508,,
97,11945243598,,
98,4631196581,,
99,14249211899,,
